,document_no,start,end,label,drug,rating,review,sentence
17,5,92,103,made illness worse,Ethinyl estradiol / norethindrone,1,I had been on lo loestrin fe for about 2 years During the early first year I didn t have many problems occasional break outs I had very light periods By the last year I was never having my period at all my gyno said it was normal and that s why people like this pill I didn t mind it but it scared me that I go nothing no drop of anything AT ALL for about 10 months in a row I though that cannot be good for my body Along with that my acne got the worst it has ever been My right side of my face broke out in huge pimples side by side I have never had acne like this I stopped taking it about 2 weeks ago considering I was pretty much sure it was due to this birth control Now I m struggling to clear my face Do not take this pill,Along with that my acne got the worst it has ever been
18,5,105,117,bad effect,Ethinyl estradiol / norethindrone,1,I had been on lo loestrin fe for about 2 years During the early first year I didn t have many problems occasional break outs I had very light periods By the last year I was never having my period at all my gyno said it was normal and that s why people like this pill I didn t mind it but it scared me that I go nothing no drop of anything AT ALL for about 10 months in a row I though that cannot be good for my body Along with that my acne got the worst it has ever been My right side of my face broke out in huge pimples side by side I have never had acne like this I stopped taking it about 2 weeks ago considering I was pretty much sure it was due to this birth control Now I m struggling to clear my face Do not take this pill,right side of my face broke out in huge pimples side by side
19,5,126,133,stopped using,Ethinyl estradiol / norethindrone,1,I had been on lo loestrin fe for about 2 years During the early first year I didn t have many problems occasional break outs I had very light periods By the last year I was never having my period at all my gyno said it was normal and that s why people like this pill I didn t mind it but it scared me that I go nothing no drop of anything AT ALL for about 10 months in a row I though that cannot be good for my body Along with that my acne got the worst it has ever been My right side of my face broke out in huge pimples side by side I have never had acne like this I stopped taking it about 2 weeks ago considering I was pretty much sure it was due to this birth control Now I m struggling to clear my face Do not take this pill,stopped taking it about 2 weeks ago considering
20,5,154,158,negative experience,Ethinyl estradiol / norethindrone,1,I had been on lo loestrin fe for about 2 years During the early first year I didn t have many problems occasional break outs I had very light periods By the last year I was never having my period at all my gyno said it was normal and that s why people like this pill I didn t mind it but it scared me that I go nothing no drop of anything AT ALL for about 10 months in a row I though that cannot be good for my body Along with that my acne got the worst it has ever been My right side of my face broke out in huge pimples side by side I have never had acne like this I stopped taking it about 2 weeks ago considering I was pretty much sure it was due to this birth control Now I m struggling to clear my face Do not take this pill,Do not take this pill
21,6,50,59,bad effect,Clindamycin / tretinoin,1,I do not recommend ziana at all I have had a terrible experience I applied ziana 2x followed the instruction perfectly I applied it Tuesday night at bedtime I washed and dried my face and waited at least 30 minutes to apply a pea size amount to my face Wednesday I woke up my face was red but not bad I applied again Wednesday night the exact same way When I woke up Thursday morning my face had red blotches and was itchy Was the day went on the my face got progressively worse Red blotches tiny blisters skin peeling off severe pain and stinging I immediately stopped using ziana Today is Saturday and my face has only continued getting worse I went back to the dermatologist got 2 scripts my face is now bleeding,I woke up my face was red but not bad
22,6,70,79,bad effect,Clindamycin / tretinoin,1,I do not recommend ziana at all I have had a terrible experience I applied ziana 2x followed the instruction perfectly I applied it Tuesday night at bedtime I washed and dried my face and waited at least 30 minutes to apply a pea size amount to my face Wednesday I woke up my face was red but not bad I applied again Wednesday night the exact same way When I woke up Thursday morning my face had red blotches and was itchy Was the day went on the my face got progressively worse Red blotches tiny blisters skin peeling off severe pain and stinging I immediately stopped using ziana Today is Saturday and my face has only continued getting worse I went back to the dermatologist got 2 scripts my face is now bleeding,I woke up Thursday morning my face had red blotches
23,6,89,93,unbearable effect,Clindamycin / tretinoin,1,I do not recommend ziana at all I have had a terrible experience I applied ziana 2x followed the instruction perfectly I applied it Tuesday night at bedtime I washed and dried my face and waited at least 30 minutes to apply a pea size amount to my face Wednesday I woke up my face was red but not bad I applied again Wednesday night the exact same way When I woke up Thursday morning my face had red blotches and was itchy Was the day went on the my face got progressively worse Red blotches tiny blisters skin peeling off severe pain and stinging I immediately stopped using ziana Today is Saturday and my face has only continued getting worse I went back to the dermatologist got 2 scripts my face is now bleeding,my face got progressively worse
24,6,105,112,stopped using,Clindamycin / tretinoin,1,I do not recommend ziana at all I have had a terrible experience I applied ziana 2x followed the instruction perfectly I applied it Tuesday night at bedtime I washed and dried my face and waited at least 30 minutes to apply a pea size amount to my face Wednesday I woke up my face was red but not bad I applied again Wednesday night the exact same way When I woke up Thursday morning my face had red blotches and was itchy Was the day went on the my face got progressively worse Red blotches tiny blisters skin peeling off severe pain and stinging I immediately stopped using ziana Today is Saturday and my face has only continued getting worse I went back to the dermatologist got 2 scripts my face is now bleeding,I immediately stopped using ziana Today is Saturday
25,6,130,134,bad effect,Clindamycin / tretinoin,1,I do not recommend ziana at all I have had a terrible experience I applied ziana 2x followed the instruction perfectly I applied it Tuesday night at bedtime I washed and dried my face and waited at least 30 minutes to apply a pea size amount to my face Wednesday I woke up my face was red but not bad I applied again Wednesday night the exact same way When I woke up Thursday morning my face had red blotches and was itchy Was the day went on the my face got progressively worse Red blotches tiny blisters skin peeling off severe pain and stinging I immediately stopped using ziana Today is Saturday and my face has only continued getting worse I went back to the dermatologist got 2 scripts my face is now bleeding,my face is now bleeding
26,7,36,42,made illness worse,Spironolactone,1,I have had acne in my face no back since I started menstruating I m 19 I tried everything My gynecologist put me on spironolactone 100mg I ve been on it since January 5 mos and my face no back got much worse I got even more hair on my arms the dr said that would go away and I would stop losing hair on my head didn t happen After five months I gained 25 pounds So be careful using this drug,my face no back got much worse
27,7,43,50,bad effect,Spironolactone,1,I have had acne in my face no back since I started menstruating I m 19 I tried everything My gynecologist put me on spironolactone 100mg I ve been on it since January 5 mos and my face no back got much worse I got even more hair on my arms the dr said that would go away and I would stop losing hair on my head didn t happen After five months I gained 25 pounds So be careful using this drug,I got even more hair on my arms
28,7,73,76,unexpected side effect,Spironolactone,1,I have had acne in my face no back since I started menstruating I m 19 I tried everything My gynecologist put me on spironolactone 100mg I ve been on it since January 5 mos and my face no back got much worse I got even more hair on my arms the dr said that would go away and I would stop losing hair on my head didn t happen After five months I gained 25 pounds So be careful using this drug,I gained 25 pounds
29,7,78,82,negative experience,Spironolactone,1,I have had acne in my face no back since I started menstruating I m 19 I tried everything My gynecologist put me on spironolactone 100mg I ve been on it since January 5 mos and my face no back got much worse I got even more hair on my arms the dr said that would go away and I would stop losing hair on my head didn t happen After five months I gained 25 pounds So be careful using this drug,be careful using this drug
30,8,34,41,bad effect,Loestrin 24 Fe,1,Was on Microgestin 1 20 but was making me depressed so doctor prescribed this Really only taking this to regulate periods and help clear up acne Took the pill for THREE nights and already have three huge cystic pimples on my face I rarely get cystic pimples usually just some whiteheads around time of period Also felt extremely nauseous and lightheaded Not continuing with this it is different for everyone but not worth it for me,have three huge cystic pimples on my face
31,8,55,60,unexpected side effect,Loestrin 24 Fe,1,Was on Microgestin 1 20 but was making me depressed so doctor prescribed this Really only taking this to regulate periods and help clear up acne Took the pill for THREE nights and already have three huge cystic pimples on my face I rarely get cystic pimples usually just some whiteheads around time of period Also felt extremely nauseous and lightheaded Not continuing with this it is different for everyone but not worth it for me,Also felt extremely nauseous and lightheaded
32,8,61,64,stopped using,Loestrin 24 Fe,1,Was on Microgestin 1 20 but was making me depressed so doctor prescribed this Really only taking this to regulate periods and help clear up acne Took the pill for THREE nights and already have three huge cystic pimples on my face I rarely get cystic pimples usually just some whiteheads around time of period Also felt extremely nauseous and lightheaded Not continuing with this it is different for everyone but not worth it for me,Not continuing with this
33,9,0,3,negative experience,Loestrin 24 Fe,1,Absolutely terrible this pill made me depressed angry and anxious I can barely sleep at night and it s causing my cheeks to break out I ve never had acne on my cheeks I ve also had to go to the doctor because I fainted multiple times note I have never ever fainted or even come close to it along with being lightheaded nauseous and having no appetite whatsoever I m 19 and I ve been on it about 3 months Would not recommend unless you want to be a completely different person for the worst The one good thing is I haven t had a period since I ve been on it,Absolutely terrible this pill
34,9,4,15,unexpected side effect,Loestrin 24 Fe,1,Absolutely terrible this pill made me depressed angry and anxious I can barely sleep at night and it s causing my cheeks to break out I ve never had acne on my cheeks I ve also had to go to the doctor because I fainted multiple times note I have never ever fainted or even come close to it along with being lightheaded nauseous and having no appetite whatsoever I m 19 and I ve been on it about 3 months Would not recommend unless you want to be a completely different person for the worst The one good thing is I haven t had a period since I ve been on it,made me depressed angry and anxious I can barely sleep at night
35,9,19,32,made illness worse,Loestrin 24 Fe,1,Absolutely terrible this pill made me depressed angry and anxious I can barely sleep at night and it s causing my cheeks to break out I ve never had acne on my cheeks I ve also had to go to the doctor because I fainted multiple times note I have never ever fainted or even come close to it along with being lightheaded nauseous and having no appetite whatsoever I m 19 and I ve been on it about 3 months Would not recommend unless you want to be a completely different person for the worst The one good thing is I haven t had a period since I ve been on it,causing my cheeks to break out I ve never had acne on my cheeks
36,9,43,46,unexpected side effect,Loestrin 24 Fe,1,Absolutely terrible this pill made me depressed angry and anxious I can barely sleep at night and it s causing my cheeks to break out I ve never had acne on my cheeks I ve also had to go to the doctor because I fainted multiple times note I have never ever fainted or even come close to it along with being lightheaded nauseous and having no appetite whatsoever I m 19 and I ve been on it about 3 months Would not recommend unless you want to be a completely different person for the worst The one good thing is I haven t had a period since I ve been on it,I fainted multiple times
37,9,81,95,negative experience,Loestrin 24 Fe,1,Absolutely terrible this pill made me depressed angry and anxious I can barely sleep at night and it s causing my cheeks to break out I ve never had acne on my cheeks I ve also had to go to the doctor because I fainted multiple times note I have never ever fainted or even come close to it along with being lightheaded nauseous and having no appetite whatsoever I m 19 and I ve been on it about 3 months Would not recommend unless you want to be a completely different person for the worst The one good thing is I haven t had a period since I ve been on it,Would not recommend unless you want to be a completely different person for the worst
38,10,0,4,negative experience,Accutane,1,Do not take this drug It cleared up my acne but it destroyed my mind I became severely depressed I ve never had depression before I would cry all the time I began having severe panic attacks It felt like I lost my mind for those 6 to 7 months It was the darkest place I have ever been in my life After stopping the medication the damage was done The depression went away after about 6 months But I continued to have anxiety issues heart problems and social anxiety I took this medication 7 years ago And it wasn t until about 2 or 3 years ago where I finally started feeling somewhat normal again It caused anger spells and just does so much damage to your brain and you can t control your emotion,Do not take this drug
39,10,5,14,unexpected side effect,Accutane,1,Do not take this drug It cleared up my acne but it destroyed my mind I became severely depressed I ve never had depression before I would cry all the time I began having severe panic attacks It felt like I lost my mind for those 6 to 7 months It was the darkest place I have ever been in my life After stopping the medication the damage was done The depression went away after about 6 months But I continued to have anxiety issues heart problems and social anxiety I took this medication 7 years ago And it wasn t until about 2 or 3 years ago where I finally started feeling somewhat normal again It caused anger spells and just does so much damage to your brain and you can t control your emotion,It cleared up my acne but it destroyed my mind
40,10,15,30,unexpected side effect,Accutane,1,Do not take this drug It cleared up my acne but it destroyed my mind I became severely depressed I ve never had depression before I would cry all the time I began having severe panic attacks It felt like I lost my mind for those 6 to 7 months It was the darkest place I have ever been in my life After stopping the medication the damage was done The depression went away after about 6 months But I continued to have anxiety issues heart problems and social anxiety I took this medication 7 years ago And it wasn t until about 2 or 3 years ago where I finally started feeling somewhat normal again It caused anger spells and just does so much damage to your brain and you can t control your emotion,I became severely depressed I ve never had depression before I would cry all the time
41,10,31,36,unexpected side effect,Accutane,1,Do not take this drug It cleared up my acne but it destroyed my mind I became severely depressed I ve never had depression before I would cry all the time I began having severe panic attacks It felt like I lost my mind for those 6 to 7 months It was the darkest place I have ever been in my life After stopping the medication the damage was done The depression went away after about 6 months But I continued to have anxiety issues heart problems and social anxiety I took this medication 7 years ago And it wasn t until about 2 or 3 years ago where I finally started feeling somewhat normal again It caused anger spells and just does so much damage to your brain and you can t control your emotion,I began having severe panic attacks
42,10,62,69,stopped using,Accutane,1,Do not take this drug It cleared up my acne but it destroyed my mind I became severely depressed I ve never had depression before I would cry all the time I began having severe panic attacks It felt like I lost my mind for those 6 to 7 months It was the darkest place I have ever been in my life After stopping the medication the damage was done The depression went away after about 6 months But I continued to have anxiety issues heart problems and social anxiety I took this medication 7 years ago And it wasn t until about 2 or 3 years ago where I finally started feeling somewhat normal again It caused anger spells and just does so much damage to your brain and you can t control your emotion,After stopping the medication the damage was done
43,11,10,18,made illness worse,Adapalene,1,I have been on Adapeline for a month now and my skin is the worst it has ever been Every day it gets worse and worse I took roaccutane 3 years ago and it was a miracle completely cleared my skin I had perfect skin for 3 years after that but for some reason 3 months ago my skin flared up again Tried this drug but it doesn t seem to be helping in fact it is making things worse When I was on roaccutane my initial breakout wasn t even this bad Have been referred back to the dermatologist for a 2nd course of roaccutane just hope I am seen soon as I literally do not want to leave my house I feel that disgusting,my skin is the worst it has ever been
44,11,57,60,bad effect,Adapalene,1,I have been on Adapeline for a month now and my skin is the worst it has ever been Every day it gets worse and worse I took roaccutane 3 years ago and it was a miracle completely cleared my skin I had perfect skin for 3 years after that but for some reason 3 months ago my skin flared up again Tried this drug but it doesn t seem to be helping in fact it is making things worse When I was on roaccutane my initial breakout wasn t even this bad Have been referred back to the dermatologist for a 2nd course of roaccutane just hope I am seen soon as I literally do not want to leave my house I feel that disgusting,my skin flared up
45,11,113,125,bad knock on effect,Adapalene,1,I have been on Adapeline for a month now and my skin is the worst it has ever been Every day it gets worse and worse I took roaccutane 3 years ago and it was a miracle completely cleared my skin I had perfect skin for 3 years after that but for some reason 3 months ago my skin flared up again Tried this drug but it doesn t seem to be helping in fact it is making things worse When I was on roaccutane my initial breakout wasn t even this bad Have been referred back to the dermatologist for a 2nd course of roaccutane just hope I am seen soon as I literally do not want to leave my house I feel that disgusting,I literally do not want to leave my house I feel that disgusting
46,12,103,113,unexpected side effect,Ethinyl estradiol / norgestimate,1,AM I ABOUT TO TELL YOU ALL A STORY IT ENDS AWFULY SO I was on this pill for 5 years My face was fine no acne no issues No birth control issues i got on the pill because of my doctor he told me to have this because my period was not regular and I had had it for years so he figured this would help I finished that treatment and upon turning 20 I stopped taking it No biggie right YEAH HUGE BIGGIE Within 4 6 months I didnt get my period at all Ok thats fine many times thats normal MY FACE MY POOR FACE MY FACE EXPLODED INTO CYSTIC ACNE I wanna say that I had been treated by my dermatologist to not have acne as I had bad acne when I was a teenager I had to go back to him because my acne went from normal to cystic severe,MY FACE MY POOR FACE MY FACE EXPLODED INTO CYSTIC ACNE
47,12,131,155,bad effect,Ethinyl estradiol / norgestimate,1,AM I ABOUT TO TELL YOU ALL A STORY IT ENDS AWFULY SO I was on this pill for 5 years My face was fine no acne no issues No birth control issues i got on the pill because of my doctor he told me to have this because my period was not regular and I had had it for years so he figured this would help I finished that treatment and upon turning 20 I stopped taking it No biggie right YEAH HUGE BIGGIE Within 4 6 months I didnt get my period at all Ok thats fine many times thats normal MY FACE MY POOR FACE MY FACE EXPLODED INTO CYSTIC ACNE I wanna say that I had been treated by my dermatologist to not have acne as I had bad acne when I was a teenager I had to go back to him because my acne went from normal to cystic severe,I had bad acne when I was a teenager I had to go back to him because my acne went from normal to cystic severe
48,13,19,28,bad effect,Bactrim,1,Started taking bactrim about 3 weeks ago It cleared alot of my acne in the first and second week but i started to break out in the third week Yesterday I noticed a bump on my neck just below the ear Turns out its a swollen lymphnode and its the size of a golf ball That same day I got a severe headache and today my neck is extremely stiff so I m going to the ER in the morning Bottom line is don t take it the side effects probably aren t worth it just get a hold of accutane,but i started to break out in the third week
49,13,30,46,unexpected side effect,Bactrim,1,Started taking bactrim about 3 weeks ago It cleared alot of my acne in the first and second week but i started to break out in the third week Yesterday I noticed a bump on my neck just below the ear Turns out its a swollen lymphnode and its the size of a golf ball That same day I got a severe headache and today my neck is extremely stiff so I m going to the ER in the morning Bottom line is don t take it the side effects probably aren t worth it just get a hold of accutane,I noticed a bump on my neck just below the ear Turns out its a swollen lymphnode
50,13,87,100,negative experience,Bactrim,1,Started taking bactrim about 3 weeks ago It cleared alot of my acne in the first and second week but i started to break out in the third week Yesterday I noticed a bump on my neck just below the ear Turns out its a swollen lymphnode and its the size of a golf ball That same day I got a severe headache and today my neck is extremely stiff so I m going to the ER in the morning Bottom line is don t take it the side effects probably aren t worth it just get a hold of accutane,the side effects probably aren t worth it just get a hold of accutane
51,14,35,41,negative experience,Adapalene,1,A dermatologist a different dermatologist than I usually see recommended to start using Differin along with taking my Doxycycline I have been using the topical gel for 3 days on my face and back and I only have negative things to say My face is peeling badly and the skin is very red and irritated I have tried different moisturizers and they just burn The outer corners of my eyes are red and painful My back broke out with large blister like pimples I do not have sensitive skin and my acne is not very bad I feel this product has actually worsened my condition I am going to stop using Differin immediately I don t know how long it s going to take my skin to heal,I only have negative things to say
52,14,42,54,bad effect,Adapalene,1,A dermatologist a different dermatologist than I usually see recommended to start using Differin along with taking my Doxycycline I have been using the topical gel for 3 days on my face and back and I only have negative things to say My face is peeling badly and the skin is very red and irritated I have tried different moisturizers and they just burn The outer corners of my eyes are red and painful My back broke out with large blister like pimples I do not have sensitive skin and my acne is not very bad I feel this product has actually worsened my condition I am going to stop using Differin immediately I don t know how long it s going to take my skin to heal,My face is peeling badly and the skin is very red and irritated
53,14,56,63,having to remedy side effects,Adapalene,1,A dermatologist a different dermatologist than I usually see recommended to start using Differin along with taking my Doxycycline I have been using the topical gel for 3 days on my face and back and I only have negative things to say My face is peeling badly and the skin is very red and irritated I have tried different moisturizers and they just burn The outer corners of my eyes are red and painful My back broke out with large blister like pimples I do not have sensitive skin and my acne is not very bad I feel this product has actually worsened my condition I am going to stop using Differin immediately I don t know how long it s going to take my skin to heal,have tried different moisturizers and they just burn
54,14,74,82,unbearable effect,Adapalene,1,A dermatologist a different dermatologist than I usually see recommended to start using Differin along with taking my Doxycycline I have been using the topical gel for 3 days on my face and back and I only have negative things to say My face is peeling badly and the skin is very red and irritated I have tried different moisturizers and they just burn The outer corners of my eyes are red and painful My back broke out with large blister like pimples I do not have sensitive skin and my acne is not very bad I feel this product has actually worsened my condition I am going to stop using Differin immediately I don t know how long it s going to take my skin to heal,My back broke out with large blister like pimples
55,14,96,104,made illness worse,Adapalene,1,A dermatologist a different dermatologist than I usually see recommended to start using Differin along with taking my Doxycycline I have been using the topical gel for 3 days on my face and back and I only have negative things to say My face is peeling badly and the skin is very red and irritated I have tried different moisturizers and they just burn The outer corners of my eyes are red and painful My back broke out with large blister like pimples I do not have sensitive skin and my acne is not very bad I feel this product has actually worsened my condition I am going to stop using Differin immediately I don t know how long it s going to take my skin to heal,I feel this product has actually worsened my condition
56,14,105,112,stopped using,Adapalene,1,A dermatologist a different dermatologist than I usually see recommended to start using Differin along with taking my Doxycycline I have been using the topical gel for 3 days on my face and back and I only have negative things to say My face is peeling badly and the skin is very red and irritated I have tried different moisturizers and they just burn The outer corners of my eyes are red and painful My back broke out with large blister like pimples I do not have sensitive skin and my acne is not very bad I feel this product has actually worsened my condition I am going to stop using Differin immediately I don t know how long it s going to take my skin to heal,I am going to stop using Differin immediately
57,15,18,28,stopped using,Loestrin 24 Fe,1,My gynecologist gave me this pill to regulate my hormones periods and it was the worst decision ever I ended up quitting the pill after I reached a month because it gave me THE WORST ACNE OF MY LIFE which I m still suffering from a month after quitting mood swings depression and HORRIBLE BLOATING And I have suffered from acne all my teen years 17 now but it was regular hormonal kind of acne I would get during that time of the month I actually had pretty bad acne earBut the acne I have now is on a whole other level And to top it all off the pill didn t even do what it was supposed to do I didn t get my period while on this pill and now I have regular period again I wish I would ve never taken this pill,I ended up quitting the pill after I reached a month
58,15,33,43,unbearable effect,Loestrin 24 Fe,1,My gynecologist gave me this pill to regulate my hormones periods and it was the worst decision ever I ended up quitting the pill after I reached a month because it gave me THE WORST ACNE OF MY LIFE which I m still suffering from a month after quitting mood swings depression and HORRIBLE BLOATING And I have suffered from acne all my teen years 17 now but it was regular hormonal kind of acne I would get during that time of the month I actually had pretty bad acne earBut the acne I have now is on a whole other level And to top it all off the pill didn t even do what it was supposed to do I didn t get my period while on this pill and now I have regular period again I wish I would ve never taken this pill,THE WORST ACNE OF MY LIFE which I m still suffering
